iso3	name	iso2	region	sub-region	intermediate-region	time	totalPopulation	fertilityRate	lifeExpectancy	childMortality	youthFemaleLiteracy	youthMaleLiteracy	adultLiteracy	GDP_PC	accessElectricity	agriculturalLand	agricultureTractors	cerealProduction	fertilizerHa	co2	greenhouseGases	co2_PC	pm2.5_35	battleDeaths
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1960	54211	4.82	65.662											11092.675		204.62037		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1961	55438	4.655	66.074							20				11576.719		208.82281		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1962	56225	4.471	66.444							20				12713.489		226.11808		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1963	56695	4.271	66.787							20				12178.107		214.80037		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1964	57032	4.059	67.113							20				11840.743		207.61578		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1965	57360	3.842	67.435							20				10623.299		185.20396		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1966	57715	3.625	67.762							20				9933.903		172.11995		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1967	58055	3.417	68.095							20				12236.779		210.77907		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1968	58386	3.226	68.436							20				11378.701		194.88749		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1969	58726	3.054	68.784							20				14891.687		253.57911		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1970	59063	2.908	69.14							20				16655.514	42.3063	281.99573		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1971	59440	2.788	69.498							20				14495.651	42.78695	243.87031		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1972	59840	2.691	69.851							20				14055.611	43.28661	234.88655		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1973	60243	2.613	70.191							20				15592.084	43.72459	258.81985		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1974	60528	2.552	70.519							20				14132.618	44.13096	233.48893		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1975	60657	2.506	70.833							20				10234.597	44.48191	168.72903		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1976	60586	2.472	71.14							20				21862.654	131.63375	360.85323		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1977	60366	2.446	71.441							20				11419.038	135.05532	189.1634		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1978	60103	2.425	71.736							20				9724.884	358.99	161.80364		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1979	59980	2.408	72.023							20				10201.594	409.50549	170.08326		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1980	60096	2.392	72.293							20				10498.621	424.78377	174.6975		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1981	60567	2.377	72.538							20				9999.909	519.00101	165.10491		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1982	61345	2.364	72.751							20				11180.683	564.02357	182.25908		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1983	62201	2.353	72.929							20				5746.189	530.38569	92.38097		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1984	62836	2.342	73.071							20				14348.971	571.03829	228.35589		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1985	63026	2.332	73.181							20				16794.86	642.14796	266.47511		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1986	62644	2.32	73.262					15669.61604		20				179.683	435.85886	2.86832		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1987	61833	2.307	73.325					18427.61153		20				447.374	616.9287	7.2352		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1988	61079	2.291	73.378					22134.01727		20				612.389		10.02618		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1989	61032	2.272	73.425					24837.95096		20				649.059		10.63473		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1990	62149	2.249	73.468					25357.78694		20				487.711		7.84745		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1991	64622	2.221	73.509					26329.31314		20				531.715		8.22808		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1992	68235	2.187	73.544					26401.96874		20				539.049		7.89989		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1993	72504	2.149	73.573					26663.20776		20				649.059		8.95204		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1994	76700	2.108	73.598					27272.31004		20				660.06		8.60574		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1995	80324	2.064	73.622					26705.18132		20				707.731		8.81095		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1996	83200	2.021	73.646					26087.77566		20				726.066		8.72675		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1997	85451	1.978	73.671					27190.50147		20				759.069		8.88309		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1998	87277	1.939	73.7					27151.92373		20				806.74		9.24344		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	1999	89005	1.903	73.738					26954.40489		20				810.407		9.10519		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2000	90853	1.872	73.787		99.16637	98.88176	97.29125	28417.38421	91.6604	20				2379.883		26.19488		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2001	92898	1.846	73.853					26966.05486	100	20				2409.219		25.93402		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2002	94992	1.823	73.937					25508.30272	100	20				2438.555		25.67116		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2003	97017	1.803	74.038					25469.2876	100	20				2563.233		26.42045		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2004	98737	1.787	74.156					27005.52943	100	20				2618.238		26.51729		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2005	100031	1.774	74.287					26979.8854	100	20				2720.914		27.20071		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2006	100834	1.765	74.429					27046.22423	100	20				2717.247		26.94773		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2007	101222	1.76	74.576					27427.57857	100	20				2823.59		27.89502		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2008	101358	1.759	74.725					27365.93119	100	20				2658.575		26.22955		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2009	101455	1.761	74.872					24463.6922	100	20				2629.239		25.91532		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2010	101669	1.768	75.017		99.3231	98.96573	96.82264	23512.6026	93.35629	20				2508.228		24.67053		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2011	102046	1.779	75.158					24233.00108	100	20				2500.894		24.50752		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2012	102560	1.795	75.299					23781.2573	100	20				1349.456		13.15772		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2013	103159	1.813	75.441					24635.76495	100	20				861.745		8.35356		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2014	103774	1.834	75.583					24563.23433	100	20				872.746		8.41006		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2015	104341	1.854	75.725					25822.25137	100	20				898.415		8.61037		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2016	104872	1.872	75.868					26231.02668	100	20				883.747		8.42691		
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2017	105366	1.886	76.01					26630.20528	100	20								
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2018	105845	1.896	76.152		99.39	99.6	97.80742		100	20								
ABW	Aruba	AW	Americas	Latin America and the Caribbean	Caribbean	2019	106314	1.901	76.293						100									
AFG	Afghanistan	AF	Asia	Southern Asia	""	1960	8996973	7.45	32.446											414.371		0.04606		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1961	9169410	7.45	32.962							377000	120	3695000	0.14379	491.378		0.05359		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1962	9351441	7.45	33.471	344.6						377600	150	3696000	0.14286	689.396		0.07372		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1963	9543205	7.45	33.971	338.7						378100	200	3378000	0.14194	707.731		0.07416		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1964	9744781	7.45	34.463	333.1						378730	200	3732000	0.14103	839.743		0.08617		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1965	9956320	7.45	34.948	327.6						378750	300	3785000	0.14103	1008.425		0.10128		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1966	10174836	7.45	35.43	322						379130	400	3489000	0.19145	1092.766		0.1074		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1967	10399926	7.45	35.914	316.8						379790	500	3826000	1.27486	1283.45		0.12341		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1968	10637063	7.45	36.403	311.4						379800	500	3916000	1.91229	1224.778		0.11514		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1969	10893776	7.45	36.9	305.8						379960	550	4038000	2.16285	942.419		0.08651		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1970	11173642	7.45	37.409	300.3						380060	550	3512000	2.46506	1672.152	14306.6163	0.14965		
