id	citations	year
1926704088	10	2004
1590836146	0	1971
2035484488	3	2007
1965723909	0	2009
2021155615	42	1998
2228695328	0	2005
2197938220	0	2002
2024089647	13	1949
1893307378	60	1996
141316683	0	2005
1591082057	0	2004
2083879431	6	2015
133927109	0	2001
2245455016	1	2001
2023541920	86	2003
2014633982	0	2005
2028534399	0	2009
2033666714	0	1985
1481339762	0	1999
2010090741	3	1948
2043856645	49	2015
2075600602	0	2013
1173435902	0	2015
2078071488	10	1973
2073540747	15	1976
141466838	0	1982
2242574916	8	1981
2008754070	0	2006
2017839910	1	2001
1968285920	3	1986
2052999269	8	1985
2015975016	1	2010
1941495481	0	2013
1503973220	0	2012
1525205241	0	2014
2075728271	0	1994
2071891789	0	1989
2213504859	0	2015
1965722406	0	1973
1981814805	16	2009
182941124	0	2008
126296197	0	2011
2213820102	0	2011
2162626103	3	2010
1975413186	226	2002
1012889865	0	1999
170224569	0	2005
2006942723	28	2002
1588741306	176	1971
1518785572	0	1991
2009080244	0	1996
142351484	0	2008
1983420407	54	2003
1973219211	80	1997
1507736334	0	1996
1971291724	19	2014
1991195878	4	1973
2027238861	15	1986
2080798380	1	2012
1517276628	7	2009
2134238014	7	2007
2067808365	8	1980
2146007145	127	1998
161260215	0	1989
19137845	173	1990
1971518049	5	2015
2099088088	136	2007
1520144347	18	2005
2032472116	3	2004
2183853520	0	1996
1968232806	17	2013
2117569554	18	2007
2089564385	26	2002
2137774346	92	2013
2014420331	41	1974
2169028688	0	2011
1709537474	28	1977
2005029872	30	2014
1844364482	1	2013
1512698915	4	2013
2017860445	2	2013
2162536469	11	2002
1991387079	0	2000
2074081683	0	1972
2146920721	69	2015
2215036050	15	2007
2126600282	0	2006
2092328456	13	1956
2083636401	5	1980
1995087608	6	1977
2012858857	4	2009
183468519	0	2011
2121659800	15	2011
1998016028	24	2004
2222742110	13	1946
2237387547	4	1948
1604080982	0	2011
139942697	0	2009
2065523637	20	2009
215868015	0	2006
1661937294	0	2014
2029890102	2	1991
178761750	0	1992
2236726300	0	2013
2011474066	66	2000
144817010	2	1975
2014195666	6	1992
2019341762	1	1940
1851879479	4	1998
2182280240	0	2015
2057728381	17	2011
1887703688	14	1997
111349597	0	2004
2116413708	2	2009
2142813979	0	2009
1976646329	13	2011
2060503664	0	2003
210138744	8	2011
134887796	0	1970
2244408282	2	2004
2106051300	0	2008
2091325017	3	2006
2081515223	0	1966
2114718087	44	1987
1867557882	0	2000
1965138726	1	2013
1974265517	19	2008
1486357827	40	2006
1973956987	0	1983
2091188745	7	2014
219901719	0	1992
120767057	28	1996
1776736315	25	2005
1986218779	90	2009
2209892197	0	2015
1979627363	5	1984
2059955833	4	2002
2186296670	0	2009
2000482598	5	1958
1616069100	5	2005
2005512215	13	2008
2079380454	50	1983
1486643705	0	1972
1997762090	0	2007
2135470728	6	2014
1592305244	0	2011
2004300896	4	2014
1996886616	3	2004
2079091409	5	2014
2052881149	24	1930
2064326777	29	2011
2155177235	77	2008
2065415759	0	2011
157670846	38	1994
2045925753	16	1954
1846255512	0	1994
2170340580	0	1950
2093638087	9	1984
1805621596	0	2015
1242388275	0	2009
2024135733	145	2005
2011896190	0	2010
2003310871	0	1949
2055475329	0	1954
2029745771	79	2015
1547448039	17	2006
2074803005	6	2014
2037625094	6	2015
1817974006	0	2015
1995696211	3	2005
2066819575	20	2002
2062794232	5	1965
1971456959	5	2009
130208378	1	2002
2234711924	0	1992
172612781	0	2000
1897136973	0	2005
1598256967	92	2003
2142285896	3	2007
198225410	1	2000
1539470432	0	2008
1516646615	4	2010
1964787037	10	2004
186806739	3	1969
2000294555	9	1995
2183787207	0	2014
2070842452	0	2010
2133263083	22	1964
1585029558	0	1990
2008424547	42	2011
1891929470	0	2006
1662600593	0	2013
2015627735	5	2013
1558423556	0	1978
2186611935	0	1990
131434027	0	2012
2235639822	3	1987
2109824241	0	2004
2093639120	4	2013
2145537424	11	2007
1964923002	2	1989
1784341753	0	1986
1557042343	0	2009
1639668486	0	1993
2209964495	0	2014
2208131068	1	2009
1681473321	2	2010
2104093027	25	1981
2182650516	1	2008
2007224179	9	2011
1245911984	0	2015
1967725016	2	1967
2070850193	17	1998
1991466092	0	2007
2014737576	13	2005
1544235130	0	2004
2192089327	0	2015
2094907210	451	2000
1958905160	1	2009
2032306546	11	2010
1981078482	278	1969
2162101500	8	2000
2113176733	19	1997
2068259077	0	1999
2166031895	26	1965
2156313406	0	2011
1481340283	0	2013
2015823119	0	2014
2225030030	1	2005
2051623052	0	2014
2212241416	2	2014
2003313835	20	1966
2153549420	29	2000
1599595600	0	2006
2122220525	2	2013
1997581155	299	1969
2170314194	18	1973
2036575460	10	2012
2122914734	86	2005
145093060	0	2007
2093734336	10	2001
137343231	0	1998
1195731432	0	2012
2128481978	4	1983
1489072586	7	2004
165842830	0	2005
2106802655	0	2014
1170857939	0	2015
1654215928	0	2007
1974563043	0	2013
2078514947	23	2003
1584029933	3	2006
2007133491	0	2007
1936938034	1	2015
1987504026	0	1984
1503179235	0	2012
2152700607	120	1986
2023955941	21	1972
1571454771	7	1996
1546983712	2	2007
2029139037	13	2004
2149345726	28	1967
2074073225	5	1971
1752314723	0	1991
1566603645	9	1987
1513214713	3	1994
1516399614	0	1989
1250596872	0	1985
1583607856	2	2011
1969717208	2	2014
2127396285	25	1964
1814830722	0	2010
2097564611	0	2013
1994827625	2	1992
2204902310	6	2015
1972104037	11	2015
202721221	38	1982
2046509640	56	1985
113599666	5	1992
1555589711	3	2001
2051295183	52	2004
2135372123	0	1970
1968285278	6	2004
2079713576	0	1957
1588859369	0	2009
2062855250	0	2006
1771812672	2	1999
2086148438	0	2011
1891806673	0	2012
2022613162	2	2006
2029206053	2	1934
1984261748	7	1994
2022898042	0	2006
2074578289	0	2000
192125033	0	2009
2086328967	0	2007
2220902221	18	2015
2121331618	0	1997
2242924808	0	2002
2081893861	0	1966
2058131484	0	2008
1602080569	2	2015
1166281425	0	2013
2019210306	8	2007
1992203941	5	2014
2166680665	34	1996
2041642104	35	1981
142081603	0	2003
2044890065	0	1962
2061328108	1	1992
1543627763	0	1990
2208288328	39	1992
2055835756	14	2009
2045045081	1	1978
2038653507	0	2003
2148711947	7	2013
2028225034	3	1829
2023720280	20	2013
2142051650	6	2003
2147940229	9	1991
1548969333	0	2009
2021205202	24	2015
1971678372	1	2004
2098438169	0	2014
1990467513	11	2003
1987490954	5	2012
1009511581	0	2005
2024347031	160	1966
1539525980	3	2012
2163970947	18	2007
1986398956	3	2008
1604791337	0	2012
2007243306	37	2008
1568820006	14	1983
2085238394	5	1980
2069539522	111	1999
2155169207	0	1990
1984606661	0	1996
1445960655	0	2014
2026162279	2	2009
1554260468	3	2012
2215584798	0	1965
1011027375	0	1967
1599257442	0	2006
1921782904	7	2009
2030285217	0	2014
122246287	0	1963
2123565208	27	2014
2041178543	12	2004
2010967796	9	2000
1587309998	6	2011
2088598331	0	2014
1521018794	0	2001
2133061644	6	1972
2004451863	0	2009
1978620218	0	2006
2187400558	0	2011
2103763315	2	2007
184316892	1	2014
2039882670	71	1965
1966252049	11	2007
1977873066	10	2008
19136165	28	2007
1501615024	0	2006
1977245748	0	1964
2146462494	33	2009
2086391671	27	2008
1181567962	0	1928
1876005045	0	2011
1573086925	0	2013
2046962494	2	1937
2106593732	1	2000
2019641499	0	1995
2093447934	1	1990
1966687071	0	2004
1546850488	0	2002
2101791355	12	2012
145321919	0	2015
2168481570	15	2009
2118623492	1	2013
1506791299	5	1998
2119295166	23	2002
1549784506	143	2000
2115269856	95	2003
2077118861	2	1955
2197095789	0	1988
2087591169	0	1994
2031846500	0	1963
2053417087	6	2014
129343909	0	2009
2185113881	2	2005
2020647004	0	2014
1688773883	0	2010
1923707084	0	2009
2189013844	2	2013
1981775012	4	2013
1555283187	29	2008
2046826052	8	1985
2036229337	0	2011
1585652151	0	2009
2139157037	3	2013
2025675758	0	1986
1924505734	0	2004
2075086062	0	1967
2149294984	51	2006
160657986	0	2012
2165755290	55	2008
2039073426	4	2014
2196194070	0	2015
1979370309	13	1994
2026513281	2	1979
1040908324	0	1995
2241282924	0	2008
1594034944	1	2012
2187316666	1	1987
1658243503	0	2005
2048442555	0	1999
2156374127	182	1999
1986010095	0	1997
2068756462	8	1985
2045943351	37	2008
2049971022	18	2008
1977059185	4	2015
1685405393	0	2014
2030861417	7	2014
2154845354	2	1992
